2026-01-29T17:41:00.205759+01:00,  soc=77.0,  volt=52.03,  volt_status=NORMAL, batt_w=2895.0,  batt_mode=discharge,  batt_discharge_w=2895.0,  batt_charge_w=0,  load_w=2674.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:42:00.205144+01:00,  soc=76.0,  volt=52.03,  volt_status=NORMAL, batt_w=2735.0,  batt_mode=discharge,  batt_discharge_w=2735.0,  batt_charge_w=0,  load_w=2674.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=50, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:43:00.204731+01:00,  soc=76.0,  volt=51.91,  volt_status=NORMAL, batt_w=2735.0,  batt_mode=discharge,  batt_discharge_w=2735.0,  batt_charge_w=0,  load_w=2674.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:44:00.204678+01:00,  soc=75.0,  volt=51.91,  volt_status=NORMAL, batt_w=2735.0,  batt_mode=discharge,  batt_discharge_w=2735.0,  batt_charge_w=0,  load_w=2674.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:45:00.205290+01:00,  soc=75.0,  volt=51.82,  volt_status=NORMAL, batt_w=2756.0,  batt_mode=discharge,  batt_discharge_w=2756.0,  batt_charge_w=0,  load_w=2657.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:46:00.205143+01:00,  soc=74.0,  volt=51.81,  volt_status=NORMAL, batt_w=2756.0,  batt_mode=discharge,  batt_discharge_w=2756.0,  batt_charge_w=0,  load_w=2657.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:47:00.205152+01:00,  soc=74.0,  volt=51.81,  volt_status=NORMAL, batt_w=2756.0,  batt_mode=discharge,  batt_discharge_w=2756.0,  batt_charge_w=0,  load_w=2657.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:48:00.205266+01:00,  soc=73.0,  volt=51.69,  volt_status=NORMAL, batt_w=2756.0,  batt_mode=discharge,  batt_discharge_w=2756.0,  batt_charge_w=0,  load_w=2657.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:49:00.205130+01:00,  soc=73.0,  volt=51.69,  volt_status=NORMAL, batt_w=2756.0,  batt_mode=discharge,  batt_discharge_w=2756.0,  batt_charge_w=0,  load_w=2657.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
2026-01-29T17:50:00.204963+01:00,  soc=73.0,  volt=51.69,  volt_status=NORMAL, batt_w=2756.0,  batt_mode=discharge,  batt_discharge_w=2756.0,  batt_charge_w=0,  load_w=2657.0, zone=unknown,  grid_charge=off, rescue_active=on, ev_charging_active=off, ev_charge_end=unknown, ev_webhook_count=0, max_discharge_a=60, max_charge_a=90, max_grid_charge_a=64, soc_limit_a=51, soc_power_w=2625, is_critical_soc=False
