2026-01-28T21:45:00.782525+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:45:00.795392+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:50:00.599763+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:50:00.610117+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:55:00.672876+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T21:55:00.683363+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:00:00.669140+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:00:00.679596+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:05:00.699059+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:05:00.705702+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:10:00.525086+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:10:00.535102+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:15:00.562894+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:15:00.575172+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:20:00.589327+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.0, flowNow=47, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:20:00.611031+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.0, flowNow=47, powerNow=2000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:25:00.633469+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.0, flowNow=47.5, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T22:25:00.641368+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.0, flowNow=47.5, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T22:30:00.655175+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T22:30:00.678627+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=47.5, powerNow=2000, freqNow=48, opState=heating, status=no_change
2026-01-28T22:35:00.692379+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=no_change
2026-01-28T22:35:00.705251+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=48, powerNow=2000, freqNow=52, opState=heating, status=no_change
2026-01-28T22:40:00.723910+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=33.5, powerNow=0, freqNow=42, opState=heating, status=no_change
2026-01-28T22:40:00.750664+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=33.5, powerNow=0, freqNow=42, opState=heating, status=no_change
2026-01-28T22:45:00.554705+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=40.75, flowNow=40.5, powerNow=1000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:45:00.563840+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=40.75, flowNow=40.5, powerNow=1000, freqNow=46, opState=heating, status=no_change
2026-01-28T22:50:00.592268+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=37.0, flowNow=47.5, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-01-28T22:50:00.609653+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=37.0, flowNow=47.5, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-01-28T22:55:00.615276+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=48, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-01-28T22:55:00.626398+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=47.5, flowNow=48, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-01-28T23:00:00.643517+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-01-28T23:00:00.656645+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.0, flowNow=48.5, powerNow=2000, freqNow=58, opState=heating, status=no_change
2026-01-28T23:05:01.908258+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.5, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-28T23:05:01.918461+01:00, outdoor_avg_60m=-1.0, flow_avg_10m=48.5, flowNow=49, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-28T23:10:01.738328+01:00, outdoor_avg_60m=-1.09, flow_avg_10m=49.0, flowNow=49.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
2026-01-28T23:10:01.748961+01:00, outdoor_avg_60m=-1.09, flow_avg_10m=49.0, flowNow=49.5, powerNow=2000, freqNow=58, opState=heating, status=set_flow_target
