2026-02-18T00:15:01.835185+01:00, outdoor_avg_60m=-5.33, flow_avg_10m=49.5, flowNow=49, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:15:01.842759+01:00, outdoor_avg_60m=-5.33, flow_avg_10m=49.5, flowNow=49, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:20:01.655765+01:00, outdoor_avg_60m=-5.42, flow_avg_10m=49.0, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:20:01.667971+01:00, outdoor_avg_60m=-5.42, flow_avg_10m=49.0, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:25:01.689022+01:00, outdoor_avg_60m=-5.5, flow_avg_10m=49.25, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:25:01.700498+01:00, outdoor_avg_60m=-5.5, flow_avg_10m=49.25, flowNow=49.5, powerNow=2000, freqNow=60, opState=heating, status=set_flow_target
2026-02-18T00:30:01.726606+01:00, outdoor_avg_60m=-5.58, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:30:01.734203+01:00, outdoor_avg_60m=-5.58, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:35:01.751437+01:00, outdoor_avg_60m=-5.73, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:35:01.770024+01:00, outdoor_avg_60m=-5.73, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:40:01.584499+01:00, outdoor_avg_60m=-5.75, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
2026-02-18T00:40:01.591431+01:00, outdoor_avg_60m=-5.75, flow_avg_10m=49.5, flowNow=49.5, powerNow=2000, freqNow=62, opState=heating, status=set_flow_target
